l,-0.02,-0.05,-0.11, ,0.459
g,-0.14,0.03,0.13, ,0.463
r,0.50,0.00,0.03,0.86,0.466
l,0.10,-0.12,-0.07, ,0.469
g,-0.24,-0.03,0.06, ,0.474
r,0.50,-0.00,0.03,0.86,0.476
l,0.33,-0.02,-0.68, ,0.479
g,-0.36,0.05,0.03, ,0.483
r,0.50,-0.00,0.03,0.86,0.486
l,0.02,0.27,0.12, ,0.488
g,-0.38,0.13,0.11, ,0.493
r,0.50,-0.00,0.03,0.86,0.495
l,0.11,0.01,0.23, ,0.498
g,-0.44,0.07,0.11, ,0.503
r,0.50,-0.00,0.03,0.87,0.506
l,0.11,0.05,0.04, ,0.509
g,-0.51,0.05,0.07, ,0.513
r,0.50,-0.01,0.03,0.87,0.516
l,0.08,0.13,0.11, ,0.519
g,-0.61,0.05,0.10, ,0.524
r,0.50,-0.01,0.03,0.87,0.526
l,-0.10,0.19,-0.12, ,0.530
g,-0.82,-0.05,0.12, ,0.533
r,0.50,-0.01,0.02,0.87,0.536
l,-0.02,0.21,-0.04, ,0.538
g,-1.04,-0.08,0.13, ,0.543
r,0.50,-0.01,0.02,0.87,0.545
l,-0.03,0.38,-0.01, ,0.549
g,-1.24,-0.09,0.18, ,0.553
r,0.49,-0.01,0.01,0.87,0.556
l,-0.09,0.34,0.07, ,0.558
g,-1.24,-0.09,0.21, ,0.563
r,0.49,-0.02,0.01,0.87,0.565
l,-0.21,0.16,0.38, ,0.568
g,-1.33,-0.15,0.24, ,0.572
r,0.49,-0.02,0.00,0.87,0.575
l,-0.25,0.17,-0.20, ,0.578
g,-1.35,-0.22,0.26, ,0.583
r,0.49,-0.02,-0.00,0.87,0.585
l,-0.31,-0.09,-0.09, ,0.588
g,-1.15,-0.15,0.27, ,0.593
r,0.49,-0.02,-0.01,0.87,0.596
l,-0.21,-0.07,-0.08, ,0.598
g,-1.29,-0.24,0.24, ,0.603
r,0.49,-0.03,-0.02,0.87,0.605
l,0.34,0.54,0.04, ,0.608
g,-1.43,-0.06,0.15, ,0.612
r,0.49,-0.03,-0.02,0.87,0.615
l,0.22,-0.29,0.13, ,0.617
g,-1.53,0.20,0.24, ,0.622
r,0.48,-0.03,-0.03,0.87,0.625
l,-0.04,0.51,-0.17, ,0.628
g,-1.88,0.16,0.40, ,0.633
r,0.48,-0.04,-0.04,0.87,0.636
l,-0.26,0.56,-0.15, ,0.639
g,-2.18,0.19,0.48, ,0.644
r,0.48,-0.04,-0.04,0.88,0.646
l,-0.04,0.27,-0.21, ,0.650
g,-2.36,0.31,0.55, ,0.653
r,0.48,-0.05,-0.05,0.88,0.656
l,0.11,0.24,0.01, ,0.658
g,-2.54,0.36,0.56, ,0.662
r,0.47,-0.06,-0.06,0.88,0.665
l,0.18,0.17,0.20, ,0.668
g,-2.65,0.16,0.50, ,0.673
r,0.47,-0.06,-0.07,0.88,0.676
l,0.22,0.24,0.32, ,0.678
g,-2.80,-0.10,0.34, ,0.682
r,0.47,-0.07,-0.09,0.88,0.685
l,0.15,-0.09,0.26, ,0.689
g,-2.78,-0.23,0.14, ,0.692
r,0.46,-0.08,-0.10,0.88,0.695
l,0.26,-0.35,0.21, ,0.698
g,-2.58,-0.33,-0.05, ,0.702
r,0.46,-0.08,-0.11,0.88,0.705
l,0.23,-0.14,0.09, ,0.708
g,-1.26,-0.22,-0.22, ,0.713
r,0.46,-0.08,-0.12,0.88,0.716
l,0.23,-2.18,-1.05, ,0.718
g,-0.25,-0.11,-0.35, ,0.722
r,0.46,-0.08,-0.12,0.87,0.725
l,-0.01,-0.27,-0.30, ,0.728
g,-0.28,-0.03,-0.33, ,0.733
r,0.46,-0.09,-0.13,0.87,0.736
l,-0.23,0.18,0.25, ,0.738
g,-0.43,0.08,-0.22, ,0.742
r,0.46,-0.09,-0.13,0.87,0.745
l,-0.04,0.33,0.37, ,0.748
g,-0.70,0.54,0.02, ,0.752
r,0.46,-0.09,-0.13,0.87,0.755
l,0.07,-0.23,0.42, ,0.758
g,-0.52,0.98,0.33, ,0.762
r,0.46,-0.09,-0.13,0.87,0.765
l,0.03,-0.71,0.25, ,0.768
g,-0.62,0.98,0.39, ,0.773
r,0.46,-0.10,-0.13,0.87,0.776
l,0.14,0.11,-0.64, ,0.778
g,-0.50,0.72,0.39, ,0.782
r,0.46,-0.10,-0.13,0.87,0.785
l,-0.62,-0.61,-0.01, ,0.788
g,-0.87,0.44,0.32, ,0.792
r,0.45,-0.11,-0.13,0.87,0.795
l,-0.21,0.37,0.09, ,0.797
g,-1.11,0.31,0.21, ,0.803
r,0.45,-0.11,-0.14,0.87,0.805
l,0.07,0.30,0.02, ,0.809
g,-1.12,0.10,0.20, ,0.813
r,0.45,-0.12,-0.14,0.87,0.816
l,-0.52,-0.12,-0.06, ,0.819
g,-1.42,-0.11,0.17, ,0.824
r,0.45,-0.12,-0.15,0.87,0.826
l,-0.32,-0.14,0.55, ,0.830
g,-1.41,-0.34,0.21, ,0.833
r,0.45,-0.12,-0.15,0.87,0.836
l,-0.53,0.70,0.95, ,0.838
g,-1.82,-0.36,0.24, ,0.843
r,0.44,-0.12,-0.16,0.87,0.845
l,0.33,0.64,0.82, ,0.848
g,-1.49,-0.12,0.46, ,0.852
r,0.44,-0.13,-0.17,0.87,0.855
l,-0.41,0.01,0.65, ,0.857
g,-1.34,-0.14,0.62, ,0.863
r,0.44,-0.13,-0.17,0.87,0.865
l,-0.71,-0.43,0.25, ,0.868
g,-1.12,-0.34,0.57, ,0.872
r,0.43,-0.13,-0.18,0.87,0.876
l,0.14,-0.18,0.05, ,0.878
g,-1.43,-0.39,0.44, ,0.883
r,0.43,-0.13,-0.18,0.87,0.885
l,0.25,0.17,-0.16, ,0.888
g,-1.70,-0.51,0.30, ,0.892
r,0.43,-0.13,-0.19,0.87,0.895
l,-0.20,0.14,-0.10, ,0.897
g,-1.79,-0.55,0.25, ,0.902
r,0.42,-0.14,-0.20,0.87,0.904
l,-0.04,0.25,-0.33, ,0.907
g,-1.97,-0.47,0.20, ,0.912
r,0.42,-0.14,-0.21,0.87,0.915
l,0.16,0.07,-0.16, ,0.917
g,-2.39,-0.40,0.12, ,0.922
r,0.42,-0.14,-0.22,0.87,0.925
l,0.47,0.26,-0.10, ,0.927
g,-3.29,-0.31,-0.05, ,0.932
r,0.41,-0.14,-0.23,0.87,0.936
l,0.63,1.07,-0.54, ,0.938
g,-3.40,-0.59,-0.26, ,0.943
r,0.41,-0.15,-0.25,0.86,0.946
l,-0.30,-1.21,0.45, ,0.949
g,-2.95,-0.85,-0.33, ,0.952
r,0.41,-0.15,-0.26,0.86,0.955
l,-0.55,0.68,-0.04, ,0.958
g,-2.80,-0.83,-0.11, ,0.962
r,0.41,-0.15,-0.28,0.86,0.965
l,-0.87,0.29,0.66, ,0.967
g,-2.53,-0.76,0.18, ,0.972
r,0.41,-0.16,-0.29,0.85,0.975
l,-0.77,0.08,0.21, ,0.978
g,-2.99,-0.57,0.32, ,0.982
r,0.40,-0.16,-0.30,0.85,0.985
l,0.19,0.32,-0.82, ,0.988
g,-3.13,-0.51,0.23, ,0.992
r,0.40,-0.16,-0.32,0.85,0.996
l,0.43,-0.52,-0.50, ,0.999
g,-2.32,-0.54,0.04, ,1.003
r,0.39,-0.17,-0.33,0.84,1.006
l,0.18,-1.26,-0.23, ,1.008
g,-2.39,-0.49,-0.11, ,1.013
r,0.39,-0.17,-0.34,0.84,1.015
l,0.41,0.73,-0.57, ,1.018
g,-1.96,-0.64,-0.25, ,1.022
r,0.39,-0.17,-0.35,0.83,1.025
l,-0.02,-0.81,0.25, ,1.028
g,-1.71,-0.75,-0.32, ,1.032
r,0.39,-0.17,-0.36,0.83,1.034
l,0.37,0.47,-0.04, ,1.037
g,-1.88,-0.76,-0.32, ,1.042
r,0.38,-0.17,-0.37,0.83,1.045
l,0.45,-0.02,-0.32, ,1.047
g,-1.84,-0.85,-0.40, ,1.052
r,0.38,-0.17,-0.38,0.82,1.054
l,0.26,-0.64,-0.66, ,1.057
g,-2.38,-1.07,-0.61, ,1.062
r,0.38,-0.17,-0.39,0.82,1.065
l,-0.15,0.38,-0.56, ,1.068
g,-3.68,-1.08,-0.81, ,1.072
r,0.38,-0.17,-0.41,0.81,1.074
l,-0.16,3.21,0.02, ,1.077
g,-4.50,-1.02,-0.76, ,1.082
r,0.38,-0.17,-0.42,0.81,1.085
l,-1.08,1.18,0.30, ,1.087
g,-4.16,-0.88,-0.79, ,1.092
r,0.37,-0.17,-0.44,0.80,1.095
l,0.11,-0.05,-0.51, ,1.097
g,-3.48,-0.63,-1.22, ,1.102
r,0.37,-0.18,-0.46,0.79,1.105
l,0.59,0.16,-0.36, ,1.108
g,-2.60,-0.39,-1.46, ,1.112
r,0.38,-0.18,-0.48,0.78,1.115
l,0.07,-0.51,0.14, ,1.117
g,-2.20,-0.23,-1.03, ,1.122
r,0.38,-0.18,-0.49,0.77,1.125
l,-0.55,-0.72,0.57, ,1.127
g,-2.51,-0.14,-0.66, ,1.132
r,0.38,-0.18,-0.50,0.76,1.135
l,0.06,0.33,-0.15, ,1.137
g,-2.83,0.14,-0.34, ,1.141
r,0.38,-0.18,-0.51,0.75,1.144
l,1.05,-0.90,-0.34, ,1.148
g,-2.35,0.64,-0.22, ,1.151
r,0.38,-0.19,-0.52,0.75,1.154
l,1.00,-1.22,0.20, ,1.156
g,-1.88,0.69,-0.37, ,1.161
r,0.38,-0.19,-0.52,0.74,1.164
l,0.16,-0.57,0.77, ,1.167
g,-1.72,0.52,-0.51, ,1.171
r,0.38,-0.20,-0.53,0.73,1.174
l,0.03,0.02,0.04, ,1.176
g,-2.11,0.39,-0.67, ,1.181
r,0.38,-0.20,-0.54,0.73,1.184
l,0.26,0.36,-0.32, ,1.187
g,-2.66,0.35,-0.70, ,1.192
r,0.38,-0.21,-0.54,0.72,1.195
l,-0.10,0.81,-0.42, ,1.197
g,-3.23,0.32,-0.48, ,1.202
r,0.38,-0.21,-0.55,0.71,1.204
l,-0.41,0.96,-0.85, ,1.207
g,-3.56,0.53,-0.11, ,1.211
r,0.38,-0.22,-0.57,0.70,1.214
